raw_text,ner_tags_json
Khu phố 13 gần Nguyen Hue,"{'tokens': ['Khu', 'phố', '13', 'gần', 'Nguyen', 'Hue'], 'tags': ['B-NBH', 'I-NBH', 'I-NBH', 'O', 'B-STR', 'I-STR']}"
Landmark 81 Số 97 Hẻm 39 Nguyen Hue,"{'tokens': ['Landmark', '81', 'Số', '97', 'Hẻm', '39', 'Nguyen', 'Hue'], 'tags': ['B-BLD', 'I-BLD', 'B-NUM', 'I-NUM', 'B-ALY', 'I-ALY', 'B-STR', 'I-STR']}"
Đối diện Ben xe Mien Tay đường Nguyen Hue,"{'tokens': ['Đối', 'diện', 'Ben', 'xe', 'Mien', 'Tay', 'đường', 'Nguyen', 'Hue'], 'tags': ['O', 'O', 'B-POI', 'I-POI', 'I-POI', 'I-POI', 'O', 'B-STR', 'I-STR']}"
Nằm gần Ben xe Mien Tay đường Mai Chi Tho,"{'tokens': ['Nằm', 'gần', 'Ben', 'xe', 'Mien', 'Tay', 'đường', 'Mai', 'Chi', 'Tho'], 'tags': ['O', 'O', 'B-POI', 'I-POI', 'I-POI', 'I-POI', 'O', 'B-STR', 'I-STR', 'I-STR']}"
Gần Cho Ben Thanh đường Mai Chi Tho,"{'tokens': ['Gần', 'Cho', 'Ben', 'Thanh', 'đường', 'Mai', 'Chi', 'Tho'], 'tags': ['O', 'B-POI', 'I-POI', 'I-POI', 'O', 'B-STR', 'I-STR', 'I-STR']}"
356/31 Nguyen Hue,"{'tokens': ['356/31', 'Nguyen', 'Hue'], 'tags': ['B-NUM', 'B-STR', 'I-STR']}"
282/48 Mai Chi Tho,"{'tokens': ['282/48', 'Mai', 'Chi', 'Tho'], 'tags': ['B-NUM', 'B-STR', 'I-STR', 'I-STR']}"
Tổ 9 gần Le Loi,"{'tokens': ['Tổ', '9', 'gần', 'Le', 'Loi'], 'tags': ['B-NBH', 'I-NBH', 'O', 'B-STR', 'I-STR']}"
Gần Ben xe Mien Tay đường Nguyen Hue,"{'tokens': ['Gần', 'Ben', 'xe', 'Mien', 'Tay', 'đường', 'Nguyen', 'Hue'], 'tags': ['O', 'B-POI', 'I-POI', 'I-POI', 'I-POI', 'O', 'B-STR', 'I-STR']}"
Gần Cho Ben Thanh đường Nguyen Hue,"{'tokens': ['Gần', 'Cho', 'Ben', 'Thanh', 'đường', 'Nguyen', 'Hue'], 'tags': ['O', 'B-POI', 'I-POI', 'I-POI', 'O', 'B-STR', 'I-STR']}"
Tổ 2 gần Mai Chi Tho,"{'tokens': ['Tổ', '2', 'gần', 'Mai', 'Chi', 'Tho'], 'tags': ['B-NBH', 'I-NBH', 'O', 'B-STR', 'I-STR', 'I-STR']}"
377/9 Le Loi,"{'tokens': ['377/9', 'Le', 'Loi'], 'tags': ['B-NUM', 'B-STR', 'I-STR']}"
Thôn 17 gần Nguyen Hue,"{'tokens': ['Thôn', '17', 'gần', 'Nguyen', 'Hue'], 'tags': ['B-NBH', 'I-NBH', 'O', 'B-STR', 'I-STR']}"
Cạnh Cho Ben Thanh đường Le Loi,"{'tokens': ['Cạnh', 'Cho', 'Ben', 'Thanh', 'đường', 'Le', 'Loi'], 'tags': ['O', 'B-POI', 'I-POI', 'I-POI', 'O', 'B-STR', 'I-STR']}"
154/2 Le Loi,"{'tokens': ['154/2', 'Le', 'Loi'], 'tags': ['B-NUM', 'B-STR', 'I-STR']}"
Cạnh Cho Ben Thanh đường Mai Chi Tho,"{'tokens': ['Cạnh', 'Cho', 'Ben', 'Thanh', 'đường', 'Mai', 'Chi', 'Tho'], 'tags': ['O', 'B-POI', 'I-POI', 'I-POI', 'O', 'B-STR', 'I-STR', 'I-STR']}"
Landmark 81 Số 149 Ngõ 6 Le Loi,"{'tokens': ['Landmark', '81', 'Số', '149', 'Ngõ', '6', 'Le', 'Loi'], 'tags': ['B-BLD', 'I-BLD', 'B-NUM', 'I-NUM', 'B-ALY', 'I-ALY', 'B-STR', 'I-STR']}"
323/15 Le Loi,"{'tokens': ['323/15', 'Le', 'Loi'], 'tags': ['B-NUM', 'B-STR', 'I-STR']}"
Xóm 7 gần Mai Chi Tho,"{'tokens': ['Xóm', '7', 'gần', 'Mai', 'Chi', 'Tho'], 'tags': ['B-NBH', 'I-NBH', 'O', 'B-STR', 'I-STR', 'I-STR']}"
Cạnh Cho Ben Thanh đường Le Loi,"{'tokens': ['Cạnh', 'Cho', 'Ben', 'Thanh', 'đường', 'Le', 'Loi'], 'tags': ['O', 'B-POI', 'I-POI', 'I-POI', 'O', 'B-STR', 'I-STR']}"
Cạnh Ben xe Mien Tay đường Mai Chi Tho,"{'tokens': ['Cạnh', 'Ben', 'xe', 'Mien', 'Tay', 'đường', 'Mai', 'Chi', 'Tho'], 'tags': ['O', 'B-POI', 'I-POI', 'I-POI', 'I-POI', 'O', 'B-STR', 'I-STR', 'I-STR']}"
Tổ 13 gần Nguyen Hue,"{'tokens': ['Tổ', '13', 'gần', 'Nguyen', 'Hue'], 'tags': ['B-NBH', 'I-NBH', 'O', 'B-STR', 'I-STR']}"
Khu phố 11 gần Le Loi,"{'tokens': ['Khu', 'phố', '11', 'gần', 'Le', 'Loi'], 'tags': ['B-NBH', 'I-NBH', 'I-NBH', 'O', 'B-STR', 'I-STR']}"
Bitexco Số 9 Kiệt 26 Nguyen Hue,"{'tokens': ['Bitexco', 'Số', '9', 'Kiệt', '26', 'Nguyen', 'Hue'], 'tags': ['B-BLD', 'B-NUM', 'I-NUM', 'B-ALY', 'I-ALY', 'B-STR', 'I-STR']}"
Bitexco Số 68 Hẻm 57 Le Loi,"{'tokens': ['Bitexco', 'Số', '68', 'Hẻm', '57', 'Le', 'Loi'], 'tags': ['B-BLD', 'B-NUM', 'I-NUM', 'B-ALY', 'I-ALY', 'B-STR', 'I-STR']}"
